172.16.234.51 SWAC-01-RS-SLL-SLO 0 0 
172.20.11.10 SWAC-01-SC-BNU-BNU_SW-597 0 0 
172.20.1.98 SWAC-01-SC-CUA-CRI_SW-734 0 0 
172.20.4.10 SWAC-01-SC-FNS-FNS_SW-469 1 1 
172.20.8.10 SWAC-01-SC-IQI-ITA_SW-563 0 0 
172.20.5.10 SWAC-01-SC-JGS-JGS_SW-505 0 0 
172.20.16.10 SWAC-01-SC-SBS-SBS_SW-624 0 0 
172.24.121.180 SWAC-01-SP-BRE-ALP 0 0 
172.24.173.35 SWAC-01-SP-SPO-SMR 0 0 
172.16.250.122 SWAC-02-RS-BGE-BGE 0 0 
172.16.142.107 SWAC-02-RS-LJO-LJ2 0 0 
172.16.88.50 SWAC-02-RS-NHO-NH1 1 1 
172.16.52.75 SWAC-02-RS-PAS-SPA-AS138 0 0 
172.16.96.66 SWAC-02-RS-PLT-CID1850 0 0 
172.16.58.70 SWAC-05-RS-PAE-HMT 0 0 
172.16.235.178 swac-02-rs-plt-pl2 0 0 
172.16.69.106 SWAC-04-RS-KDK-CCA-ID1775 0 0 
172.17.2.114 SWAC-02-RS-SMA-PEB 0 0 
172.24.191.11 SWAC-02-SP-DDA-DDA 0 0 
172.16.26.186 SWAC-03-RS-CAM-CAM 1 1 
172.16.85.58 SWAC-03-RS-ESU-ELD 0 0 
172.16.233.98 SWAC-03-RS-GUB-GUA 0 0 
172.16.142.114 SWAC-03-RS-LJO-LJ2 0 0 
172.16.88.51 SWAC-03-RS-NHO-NH1 0 0 
172.16.39.187 SWAC-03-RS-PAS-PA2 0 0 
172.16.235.50 SWAC-03-RS-PLT-PL2 1 1 
172.16.202.60 SWAC-03-RS-UGN-UGA 0 0 
172.16.250.50 SWAC-04-RS-BGE-BGE 0 0 
172.16.233.50 SWAC-04-RS-GUB-GUA 5 5 
172.16.90.146 SWAC-04-RS-PAS-PA2 0 0 
172.16.138.204 SWAC-04-RS-RGR-RG2 0 0 
172.17.32.66 SWAC-04-RS-SLE-SLD 0 0 
172.17.2.50 SWAC-04-RS-SMA-PEB 0 0 
172.16.49.98 SWAC-04-RS-TQR-TQR 0 0 
172.24.43.124 SWAC-04-SP-SCN-SCS 0 0 
172.17.17.82 SWAC-05-RS-CSL-UVA 0 0 
172.24.15.2 SPO.MMM.MMM.SW.EX.002 0 0 
172.16.103.210 SWAC-05-RS-PAS-SPA 0 0 
172.16.138.74 SWAC-05-RS-RGR-RG2 1 0 
172.16.35.90 SWAC-05-RS-SLE-SLD 1 1 
172.16.4.90 SWAC-08-RS-PAE-FLR 5 5 
172.24.70.2 SP.SPO.VRAO.SW.EX.002 0 0 
172.24.79.2 SP.SPO.BTU.SW.EX.072 0 0 
172.16.234.50 SWAC-10-RS-SLL-SLO 1 1 
172.31.111.59 SWAC-02-SP-DTC-LV3-POI 0 0 
172.31.96.34 SWAC-08-RS-CSL-UVA 0 0 
172.31.96.36 SWAC-07-RS-CSL-CID3011-AIRSW-455 0 0 
