IP HOST VPLS_CONFIGURADO VPLS_ATIVO VPLS_INATIVO
10.255.3.61 SWAC-01-SP-SOC-NMS 6 6 0%
10.255.3.40 SWAC-01-SP-SPO-NVA 197 191 3%
10.255.3.141 SWAC-01-SP-SPO-PJD 67 61 9%
10.255.3.76 SWAC-01-SP-SPO-VGE 11 9 18%
172.16.250.122 SWAC-02-RS-BGE-BGE 9 0 100%
172.17.44.50 SWAC-02-RS-CAN-CSU-AIRSW-753 15 12 20%
172.16.69.114 SWAC-02-RS-KDK-CCA-AIRSW-578 9 5 44%
172.16.142.107 SWAC-02-RS-LJO-LJ2 4 0 100%
172.16.88.50 SWAC-02-RS-NHO-NH1 10 0 100%
172.16.96.66 SWAC-02-RS-PLT-CID1850 4 0 100%
172.17.2.114 SWAC-02-RS-SMA-PEB 0 0 100%
172.16.36.138 SWAC-02-RS-VAI-VEN 7 7 0%
10.255.3.88 SWAC-02-SP-CAS-CAS 21 18 14%
10.255.3.62 SWAC-02-SP-DTC-LV3-POI 115 113 2%
10.255.3.84 SWAC-02-SP-SPO-TTP 81 59 27%
172.16.26.186 SWAC-03-RS-CAM-CAM 39 0 100%
172.17.29.146 SWAC-03-RS-DSR-DOI-AIRSW-690 2 2 0%
172.16.85.58 SWAC-03-RS-ESU-ELD 4 0 100%
172.31.96.90 SWAC-03-RS-ESU-ELD 4 0 100%
172.16.142.114 SWAC-03-RS-LJO-LJ2 0 0 100%
172.16.88.51 SWAC-03-RS-NHO-NH1 14 0 100%
172.16.58.91 SWAC-03-RS-PAE-HMT 168 164 2%
172.16.39.187 SWAC-03-RS-PAS-PA2 49 0 100%
172.16.213.58 SWAC-03-RS-SRO-SRO 21 19 10%
172.16.202.60 SWAC-03-RS-UGN-UGA 28 0 100%
10.255.3.131 SWAC-03-SP-IAQ-ITQ 64 42 34%
172.22.0.138 SWAC-04-PR-CTA-VQM_SW-679 11 8 27%
172.16.250.50 SWAC-04-RS-BGE-BGE 8 0 100%
